,No.,Ticker,Market Cap,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Price,Change,Volume
1,1,A,41.06B,0.01,0.12,0.24,0.15,2.2,1.6,0.53,0,0.54,0.22,0.19,136.82,0.01,1163313
2,2,AA,14.97B,0.01,0.03,0.11,0.05,1.6,1,0.37,0.37,0.25,0.08,0.04,80.73,0.07,8420623
3,3,AAAU,,,,,,,,,,,,,19.26,0,617732
4,4,AAC,1.22B,,0.02,0.02,,0.4,0.4,0,0,,,,9.76,0,31136
5,5,AACG,43.15M,,0.18,0.49,0.48,0.3,0.3,0,0,0.47,0.53,0.51,1.38,0.06,37654
6,6,AACI,203.99M,,,,,0.4,0.4,0,0,,,,9.85,0,10
7,7,AACIW,,,,,,,,,,,,,0.25,0.09,8253
8,8,AADI,407.15M,,1.35,1.47,0.15,14,14,0.04,0.04,,,,19.49,0.08,116962
9,9,AADR,,0,,,,,,,,,,,58.48,0.03,8327
10,10,AAIC,106.97M,,0.01,0.06,0.01,,,0.67,3.05,0.35,,0.99,3.52,0.01,72431
11,11,AAL,10.74B,,0.03,0.26,0.02,0.9,0.8,,,0.57,0.04,0.07,16.55,0,41851594
12,12,AAME,51.15M,0.01,0.03,0.09,0.08,,,0.24,0.24,,0.09,0.06,2.51,0.05,2400
13,13,AAN,716.57M,0.02,0.08,0.15,0.15,,,0.01,0.01,0.63,0.08,0.06,23.13,0.03,211114
14,14,AAOI,91.33M,,0.12,0.2,0.14,1.8,0.9,0.33,0.56,0.18,0.27,0.26,3.32,0.01,137025
15,15,AAON,2.95B,0.01,0.11,0.15,0.12,2.5,1,0.1,0.1,0.26,0.13,0.11,56.23,0.01,158364
16,16,AAP,12.72B,0.02,0.05,0.19,0.16,1.2,0.3,0.33,0,0.45,0.08,0.06,208.18,0,765072
17,17,AAPL,2621.23B,0.01,0.29,1.5,0.5,1,1,1.48,1.71,0.43,0.31,0.27,160.62,0.01,75428856
18,18,AAQC,388.80M,,,,,,,,,,,,9.72,0,24175
19,19,AAT,2.25B,0.03,0.01,0.02,0.03,,,1.33,1.33,0.66,0.25,0.08,37.17,0.02,158510
20,20,AATC,35.44M,0.07,0.11,0.12,0.05,13.2,12.4,0,0,0.78,0.18,0.18,6.6,0.02,6833
1,21,AJG,34.44B,0.01,0.03,0.11,0.08,1.1,1.1,0.68,0.74,0.37,0.15,0.11,165.14,0.02,963718
2,22,AKAM,18.48B,,0.08,0.15,0.11,2.4,2.4,0.44,0.44,0.63,0.23,0.19,115.23,0.02,1708543
3,23,ALB,22.98B,0.01,0.01,0.02,0.1,1.1,0.6,0.36,0.43,0.3,0.23,0.04,196.37,0.03,705384
4,24,ALGN,33.53B,,0.14,0.22,0.22,1.3,1.2,0,0,0.74,0.26,0.2,425.48,0.01,626101
5,25,ALK,6.84B,,0.03,0.14,0.08,1,1,0.57,0.67,0.52,0.11,0.08,54.32,0.01,2008564
6,26,ALL,36.44B,0.03,0.01,0.06,0.17,,,0.34,0.34,,0.13,0.03,130.92,0.04,2343407
7,27,ALLE,10.39B,0.01,0.16,0.62,0.22,1.9,1.2,1.88,1.9,0.42,0.19,0.17,117.79,0.01,575167
8,28,AMAT,116.60B,0.01,0.26,0.54,0.34,2.5,1.8,0.46,0,0.48,0.31,0.27,131.99,0.01,6776797
9,29,AMCR,17.57B,0.04,0.06,0.21,0.1,1.3,0.7,1.47,1.49,0.2,0.1,0.07,11.61,0.01,6958443
10,30,AMD,181.76B,,0.29,0.45,0.4,2,1.6,0,0.04,0.48,0.22,0.19,111.69,0.03,102964915
11,31,AME,30.76B,0.01,0.09,0.15,0.11,1.4,0.9,0.32,0.37,0.35,0.24,0.18,132.75,0.01,796624
12,32,AMGN,131.38B,0.03,0.1,0.73,0.17,1.6,1.3,4.96,4.97,0.75,0.29,0.23,235.86,0.02,3261540
13,33,AMP,33.21B,0.02,0.02,0.49,0.1,,,0.88,4.47,0.48,0.26,0.21,299.9,0.02,616445
14,34,AMT,111.75B,0.02,0.04,0.51,0.06,0.4,0.4,7.61,8.51,0.71,0.33,0.27,245.14,0.02,1875265
15,35,AMZN,1600.19B,,0.09,0.28,0.1,1.1,0.9,0.47,0.48,0.42,0.05,0.07,3144.78,0.03,3585217
16,36,ANET,38.78B,,0.16,0.22,0.21,4.3,3.7,0,0,0.64,0.31,0.29,126,0.01,2422606
17,37,ANSS,27.01B,,0.08,0.11,0.09,2.1,2.1,0.17,0,0.87,0.27,0.24,309.63,0,817568
18,38,ANTM,115.37B,0.01,0.06,0.17,0.12,,,0.59,0.64,,0.06,0.04,478.13,0.02,1246064
19,39,AON,67.59B,0.01,0.04,0.42,0.15,1,1,7.8,8.91,,0.18,0.1,315.93,0.02,1534983
20,40,AOS,10.68B,0.02,0.15,0.26,0.24,1.6,1.2,0.1,0.11,0.37,0.18,0.14,68,0.01,805135
1,41,APA,13.67B,0.01,0.07,0.79,0.31,1.1,0.9,,,0.65,0.3,0.12,39.43,0.07,9273397
2,42,APD,50.67B,0.03,0.08,0.16,0.09,2.5,2.3,0.52,0.53,0.29,0.21,0.2,228.55,0.02,1431549
3,43,APH,45.47B,0.01,0.11,0.27,0.15,2.4,1.7,0.76,0.76,0.31,0.19,0.15,75.92,0.01,1971026
4,44,APTV,31.30B,,0.03,0.06,0.08,2,1.5,0.49,0.49,0.16,0.07,0.03,115.7,0.01,1673595
5,45,ARE,32.99B,0.02,0.02,0.04,0.02,,,0.54,0.54,0.71,0.19,0.27,194.02,0.01,625948
6,46,ATO,15.50B,0.02,,,0.05,1,0.9,0.67,0.96,0.68,,,114.47,0,736844
7,47,ATVI,61.47B,0.01,0.11,0.16,0.13,5.2,5.2,0.21,0.21,0.74,0.37,0.31,78.89,0,7834194
8,48,AVB,34.37B,0.03,0.05,0.09,0.02,,,0.74,0.74,0.63,0.16,0.44,245.97,0.01,554133
9,49,AVGO,246.06B,0.03,0.1,0.31,0.13,2.4,2.2,1.71,1.72,0.63,0.34,0.26,602.67,0.01,1812204
10,50,AVY,14.09B,0.02,0.1,0.42,0.15,1.1,0.7,1.45,1.61,0.28,0.12,0.09,171.08,0.01,536665
11,51,AWK,28.61B,0.02,0.05,0.18,0.09,0.7,0.7,1.42,1.51,,0.49,0.32,157.43,0.01,638081
12,52,AXP,141.98B,0.01,0.04,0.33,0.06,,,1.74,5.65,0.69,0.25,0.19,186.97,0.04,6393549
13,53,AZO,40.13B,,0.15,1.2,0.63,0.8,0.2,,,0.53,0.19,0.14,1945.3,0.01,207846
14,54,BA,110.88B,,0.03,0.26,0.05,1.3,0.4,,,0.05,0.05,0.07,190.19,0.01,8101540
15,55,BAC,347.03B,0.02,0.01,0.12,0.06,,,1.1,2.02,,1,0.64,43.03,0.01,50185570
16,56,BAX,39.90B,0.01,0.06,0.15,0.06,2.1,1.5,1.89,1.95,0.4,0.13,0.1,79.44,0.01,2658732
17,57,BBWI,12.56B,0.02,0.19,1.76,0.24,2.1,1.3,,,0.49,0.25,0.23,48.73,0,2943742
18,58,BBY,23.89B,0.03,0.13,0.58,0.43,1.1,0.4,0.29,0.29,0.23,0.06,0.05,99.29,0,1989549
19,59,BDX,74.69B,0.01,0.03,0.07,0.06,1.2,0.8,0.68,0.72,0.46,0.11,0.08,262.29,0.01,1193235
20,60,BEN,14.03B,0.04,0.08,0.17,0.08,,,0.66,0,,0.23,0.22,27.94,0,3081168
1,61,BFB,30.12B,0.01,0.12,0.3,0.19,3.5,1.8,0.82,0.92,0.6,0.3,0.22,64.51,0.01,688853
2,62,BIIB,30.17B,,0.07,0.15,0.15,1.8,1.5,0.58,0.67,0.81,0.26,0.14,205.32,0.01,1032987
3,63,BIO,17.37B,,0.25,0.33,0.05,2.9,2.1,0,0,0.57,0.17,,574.84,0.02,140498
4,64,BK,42.38B,0.03,0.01,0.09,0.03,,,0.7,0.7,,,,52.51,0.01,7147771
5,65,BKNG,88.37B,,0.05,0.22,0.11,2.1,2.1,1.45,1.77,,0.21,0.11,2161.14,0.02,386599
6,66,BKR,35.94B,0.02,0.01,0.01,0.03,1.7,1.2,0.4,0.41,0.2,0.07,0.01,34.98,0.04,15842733
7,67,BLK,112.65B,0.02,0.04,0.16,0.12,,,0.2,0,0.82,0.39,0.31,740.93,0.01,544150
8,68,BLL,29.44B,0.01,0.05,0.24,0.1,0.9,0.6,2.13,2.13,0.2,0.09,0.06,91.57,0.01,1433999
9,69,BMY,153.71B,0.03,0.06,0.19,0.09,1.5,1.4,1.1,1.24,0.79,0.19,0.15,70.52,0.01,17140276
10,70,BR,17.78B,0.02,0.07,0.31,0.09,1.2,1.2,2.38,0,0.28,0.13,0.1,152.29,0.01,474702
11,71,BRKB,838.28B,,,,,,,,,,,,344.97,0.03,6883494
12,72,BRO,19.20B,0.01,0.06,0.14,0.1,1.2,1.2,0.47,0.48,,0.27,0.19,68.03,0.02,1814728
13,73,BSX,63.08B,,0.03,0.06,0.05,1.5,1.1,0.53,0.55,0.68,0.1,0.08,44.21,0.01,8112761
14,74,BWA,9.20B,0.02,0.03,0.08,0.09,1.7,1.3,0.61,0.62,0.19,0.08,0.04,38.35,0.01,2078396
15,75,BXP,19.54B,0.03,0.02,0.09,0.05,,,2.25,2.25,0.64,0.32,0.17,124.74,0.01,536024
16,76,C,113.49B,0.04,0.01,0.11,0.09,,,1.36,0,,0.9,0.41,57.29,0.01,21388506
17,77,CAG,15.38B,0.04,0.05,0.13,0.09,0.9,0.4,0.98,1.08,0.26,0.14,0.1,32.06,0.01,5730668
18,78,CAH,15.85B,0.03,0.01,0.37,0.09,1.1,0.6,5.35,5.65,0.04,0,0,57.19,0.06,6566728
19,79,CARR,40.19B,0.01,0.07,0.25,0.12,1.7,1.4,1.41,1.43,0.29,0.13,0.08,47.12,0.01,3765456
20,80,CAT,118.81B,0.02,0.08,0.39,0.09,1.5,1,1.58,2.29,0.3,0.14,0.13,221.7,0.03,3598883
1,81,CB,89.98B,0.02,0.04,0.14,0.09,,,0.26,0.28,,0.19,0.21,211.1,0,1644813
2,82,CBOE,12.54B,0.02,0.07,0.15,0.12,1.3,1.3,0.36,0.36,0.42,0.23,0.15,117.64,0.02,668125
3,83,CBRE,30.26B,,0.1,0.23,0.09,1.2,1.2,0.19,0.35,0.22,0.06,0.07,91.05,0,2226822
4,84,CCI,76.47B,0.03,0.03,0.13,0.06,0.6,0.6,2.49,2.5,0.69,0.29,0.17,176.92,0.02,1411009
5,85,CCL,21.56B,,0.17,0.59,0.17,1,0.9,2.35,2.74,0.42,,,19.15,0.01,38532485
6,86,CDAY,10.03B,,0.01,0.03,0.02,1.1,1.1,0.5,0.51,0.37,0.09,0.07,65.96,0.03,991558
7,87,CDNS,42.52B,,0.17,0.27,0.23,1.8,1.6,0.13,0,0.9,0.26,0.23,153.32,0.02,1638776
8,88,CDW,23.80B,0.01,0.1,1.05,0.15,1.3,1.1,9.57,9.72,0.17,0.07,0.05,176.41,0.02,546333
9,89,CE,15.40B,0.02,0.17,0.49,0.2,1.5,0.9,0.76,0.95,0.31,0.23,0.22,142.57,0,1030023
10,90,CEG,16.66B,0.01,,,0.03,1,0.8,0.44,0.73,0.38,0.02,0.01,50.99,0.02,2202165
11,91,CERN,27.51B,0.01,0.07,0.14,0.1,1.5,1.5,0.44,0.5,0.83,0.12,0.1,93.78,0,2037018
12,92,CF,19.12B,0.01,0.08,0.3,0.21,1.8,1.5,1.08,1.08,0.37,0.26,0.14,92.21,0.05,5447479
13,93,CFG,21.00B,0.03,0.01,0.1,0.15,,,0.23,0.33,,,0.46,49.74,0.01,4722043
14,94,CHD,23.61B,0.01,0.11,0.25,0.15,0.6,0.3,0.5,0.79,0.44,0.21,0.16,97.28,0,1067319
15,95,CHRW,13.40B,0.02,0.13,0.44,0.22,1.4,1.4,0.69,1,0.14,0.05,0.04,104.02,0.02,944848
16,96,CHTR,99.78B,,0.03,0.26,0.09,0.3,0.3,6.3,6.52,0.45,0.2,0.09,577.65,0.01,1243812
17,97,CI,77.80B,0.02,0.04,0.11,0.08,,,0.66,0.71,,0.05,0.03,242.39,0.02,2136085
18,98,CINF,21.22B,0.02,0.1,0.25,0.21,,,0.06,0.07,,0.39,0.31,132.27,0.01,649881
19,99,CL,63.15B,0.02,0.14,4.5,0.33,1.1,0.7,11.81,11.9,0.6,0.19,0.12,75.13,0,4186705
20,100,CLX,16.35B,0.03,0.04,0.54,0.22,0.7,0.4,6.03,9.17,0.38,0.05,0.04,132.83,0.01,1045548
1,101,CMA,12.41B,0.03,0.01,0.15,0.19,,,0.37,0.37,,,0.6,94.68,0.01,1357211
2,102,CMCSA,210.70B,0.02,0.05,0.15,0.08,0.8,0.8,1.02,1.04,0.67,0.18,0.12,46.48,0.01,16253435
3,103,CME,88.51B,0.01,0.01,0.1,0.08,1,1,0.1,0.13,,0.65,0.56,246.28,0.02,1349364
4,104,CMG,43.83B,,0.1,0.29,0.28,1.6,1.5,0,0,0.28,0.11,0.09,1563.55,0.01,195771
5,105,CMI,29.26B,0.03,0.09,0.26,0.17,1.7,1.1,0.42,0.49,0.24,0.11,0.09,205.41,0,732401
6,106,CMS,19.36B,0.03,0.05,0.23,0.05,1.2,0.9,1.89,1.95,0.66,0.16,0.19,66.82,0.01,2583238
7,107,CNC,51.28B,,0.02,0.05,0.03,,,0.69,0.7,,0.02,0.01,87.98,0.01,2685841
8,108,CNP,18.29B,0.02,0.04,0.18,0.05,1.7,1.6,1.8,1.87,,0.16,0.17,29.08,0.01,4498731
9,109,COF,56.90B,0.02,0.03,0.21,0.23,,,0.75,0.75,,,0.46,137.55,0,3152741
10,110,COO,20.60B,0,0.09,0.14,0.35,1,0.7,0.34,0.47,0.67,0.17,0.31,417.82,0.03,326720
11,111,COP,128.43B,0.01,0.09,0.18,0.11,1.3,1.2,0.41,0.44,0.48,0.25,0.18,98.83,0.04,8801540
12,112,COST,245.01B,0.01,0.09,0.31,0.2,1,0.5,0.34,0.34,0.13,0.04,0.03,552.79,0.02,1903551
13,113,CPB,12.89B,0.03,0.08,0.29,0.15,0.9,0.5,1.36,1.5,0.32,0.17,0.11,42.74,0,1438043
14,114,CPRT,30.30B,,0.23,0.3,0.24,5.2,5.1,0.1,0,0.48,0.41,0.35,127.6,0.02,1251007
15,115,CRL,14.22B,,0.06,0.17,0.1,1.2,1,1.05,1.05,0.38,0.17,0.11,281.7,0.04,548038
16,116,CRM,207.25B,,0.03,0.05,0.03,1.1,1.1,0.19,0,0.74,0.04,0.09,210.41,0.02,5808824
17,117,CSCO,233.34B,0.03,0.12,0.29,0.19,1.4,1.3,0.23,0.29,0.63,0.27,0.23,56.17,0.01,18823831
18,118,CSX,79.62B,0.01,0.09,0.28,0.15,1.7,1.6,1.2,1.21,0.76,0.45,0.3,36.3,0.02,17770793
19,119,CTAS,40.97B,0.01,0.14,0.32,0.19,1.2,1,0.38,0.69,0.47,0.2,0.15,394.98,0.02,298618
20,120,CTLT,19.07B,,0.06,0.14,0.1,2.8,2.2,0.94,0.94,0.34,0.2,0.13,106.44,0.04,1188487
1,121,CTRA,20.13B,0.02,0.14,0.25,0.08,1.8,1.7,0.27,0.27,0.76,0.45,0.34,24.74,0.05,15415548
2,122,CTSH,47.51B,0.01,0.13,0.19,0.17,2.1,2.1,0.05,0.06,0.37,0.15,0.12,90.58,0.01,2304999
3,123,CTVA,40.56B,0.01,0.04,0.07,0.02,1.6,1.1,0.04,0.04,0.41,0.07,0.11,55.79,0.02,4395848
4,124,CTXS,12.69B,0.01,0.05,0.83,0.1,0.7,0.7,6.08,6.08,0.81,0.07,0.1,101.11,0,2242920
5,125,CVS,142.49B,0.02,0.03,0.11,0.08,0.9,0.6,0.69,0.75,0.4,0.04,0.03,108.56,0.01,5580913
6,126,CVX,312.46B,0.04,0.07,0.12,0.07,1.3,1,0.22,0.23,0.43,0.11,0.1,160.44,0.02,15598218
7,127,CZR,17.04B,,0.03,0.21,0.05,1.1,1.1,5.84,5.85,0.48,0.13,0.11,79.59,0,1660296
8,128,D,67.02B,0.03,0.03,0.13,0.04,0.8,0.7,1.47,1.59,1,0.22,0.23,82.69,0.02,5910818
9,129,DAL,23.77B,,0,0.14,0.05,0.8,0.7,6.47,6.93,0.39,0.05,0.01,37.15,0.01,16758731
10,130,DD,38.88B,0.02,0.14,0.24,0.06,1.9,1.2,0.4,0.41,0.35,0.16,0.39,75.81,0.02,3059502
11,131,DE,124.60B,0.01,0.07,0.34,0.1,,,1.84,2.66,0.33,0.18,0.13,406.15,0.05,2778383
12,132,DFS,32.37B,0.02,0.05,0.45,0.24,,,1.08,1.64,,0.87,0.5,113.62,0,2182910
13,133,DG,51.43B,0.01,0.1,0.39,0.26,1.1,0.2,0.67,0,0.32,0.1,0.07,221.94,0.04,4385313
14,134,DGX,17.34B,0.02,0.15,0.31,0.17,1.6,1.4,0.62,0.62,0.4,0.22,0.18,145.16,0.01,1378344
15,135,DHI,29.48B,0.01,0.2,0.32,0.21,,,0.22,0.34,0.29,0.2,0.16,83.2,0.02,2693896
16,136,DHR,201.30B,0,0.08,0.16,0.1,1.4,1.1,0.53,0.53,0.61,0.25,0.21,281.4,0.01,2560455
17,137,DIS,253.92B,,0.02,0.04,0.02,1.1,1.1,0.53,0.6,0.34,0.07,0.04,139.47,0.01,6807112
18,138,DISCA,13.03B,,0.02,0.07,0.07,2.1,2.1,1.26,1.29,0.62,0.16,0.07,25.71,0,4457003
19,139,DISCK,,,,,,,,,,,,,25.71,0,3075515
20,140,DISH,16.63B,,0.06,0.17,0.07,1.2,1.1,1.25,1.38,0.34,0.18,0.14,31.44,0.02,1768364
1,141,DLR,39.31B,0.04,0.05,0.1,0.02,,,0.78,0.78,0.63,0.15,0.38,138.22,0.02,965896
2,142,DLTR,34.90B,,0.07,0.21,0.13,1.3,0.2,0.45,0.45,0.29,0.08,0.06,155.13,0.02,1907069
3,143,DOV,22.66B,0.01,0.12,0.29,0.17,1.4,0.8,0.72,0.75,0.38,0.19,0.14,157.33,0.01,457286
4,144,DOW,46.23B,0.04,0.1,0.39,0.17,1.6,1,0.79,0.81,0.2,0.14,0.11,62.84,0.05,9418519
5,145,DPZ,14.76B,0.01,0.3,0.13,0.77,1.5,1.3,,,0.39,0.18,0.12,409.46,0.01,293305
6,146,DRE,21.33B,0.02,0.09,0.15,0.1,,,0.62,0.62,0.71,0.87,0.77,55.73,0.02,1275090
7,147,DRI,16.66B,0.03,0.09,0.35,0.16,0.9,0.7,0.69,0.69,0.21,0.12,0.11,130.44,0.01,1387062
8,148,DTE,24.76B,0.03,0.02,0.09,0.05,0.5,0.4,1.67,2.09,,0.07,0.06,127.78,0,1226685
9,149,DUK,81.94B,0.04,0.02,0.08,0.05,0.6,0.4,1.28,1.42,0.72,0.21,0.15,106.5,0.01,2674085
10,150,DVA,10.84B,,0.06,0.88,0.15,1.3,1.3,11.55,11.79,0.31,0.16,0.08,112.56,0,763408
11,151,DVN,38.20B,0.01,0.14,0.32,0.2,1.4,1.4,0.73,0.73,0.49,0.27,0.23,57.52,0.1,14524625
12,152,DXC,7.97B,,0.03,0.13,0.01,1.1,1.1,0.89,1.04,0.21,0.02,0.04,32.61,0,2113281
13,153,DXCM,44.14B,,0.03,0.08,0.06,5.1,4.6,0.78,0.78,0.7,0.11,0.06,454.73,0.04,795448
14,154,EA,35.20B,0.01,0.05,0.08,0.09,1.2,1.2,0.25,0,0.73,0.14,0.1,125.18,0.01,1296930
15,155,EBAY,32.71B,0.01,0.52,1.46,0.15,2,2,0.79,0.93,0.75,0.28,,55.67,0.02,5770282
16,156,ECL,49.23B,0.01,0.06,0.17,0.08,1.3,0.9,1.16,1.21,0.41,0.12,0.09,171.67,0.01,2657161
17,157,ED,31.87B,0.03,0.02,0.07,0.05,1,0.9,1.13,1.22,0.82,0.17,0.1,90.01,0,1913416
18,158,EFX,29.23B,0.01,0.07,0.21,0.11,0.5,0.5,1.25,1.48,0.6,0.23,0.15,239.42,0.02,778447
19,159,EIX,25.20B,0.04,0.01,0.05,0.04,0.6,0.6,1.74,1.98,0.63,0.1,0.05,66.19,0,1408383
20,160,EL,97.70B,0.01,0.15,0.55,0.19,1.7,1.3,0.85,0.89,0.76,0.18,0.18,272.39,0.01,1687197
1,161,EMN,13.84B,0.03,0.05,0.14,0.1,1.6,1.1,0.77,0.9,0.24,0.12,0.08,107.29,0,1999574
2,162,EMR,56.72B,0.02,0.11,0.29,0.15,2,1.6,0.85,0.85,0.41,0.17,0.15,95.49,0.02,3642328
3,163,ENPH,24.22B,,0.07,0.24,0.13,3.3,3.2,2.21,2.41,0.4,0.12,0.11,180.85,0.02,2311906
4,164,EOG,69.00B,0.03,0.13,0.22,0.18,2.1,2,0.23,0.23,0.64,0.33,0.25,117.87,0.04,4229097
5,165,EPAM,15.54B,,0.15,0.21,0.19,3,3,0.01,0.02,0.34,0.14,0.13,273.19,0.03,1482802
6,166,EQIX,65.31B,0.02,0.02,0.05,0.04,1.8,1.8,1.25,1.26,0.48,0.15,0.08,719.86,0.02,312067
7,167,EQR,33.58B,0.03,0.07,0.13,0.09,,,0.74,0.76,0.62,0.68,0.54,89.32,0.01,1115679
8,168,ES,29.02B,0.03,0.03,0.09,0.05,0.6,0.5,1.2,1.39,,0.2,0.12,84.26,0,2012612
9,169,ESS,22.37B,0.02,0.04,0.08,,,,1.05,1.05,0.69,0.36,0.34,342.74,0,384983
10,170,ETN,61.69B,0.02,0.06,0.14,0.09,1,0.6,0.42,0.52,0.32,0.16,0.11,154.69,0.01,1389476
